"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","51","","yandex.praktikum.api.createOrder.CreateOrderTest","","yandex.praktikum.api.createOrder.CreateOrderTest","testCreateOrderWithColors","testCreateOrderWithColors(String, List) Один цвет: GREY",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","50","","yandex.praktikum.api.createOrder.CreateOrderTest","","yandex.praktikum.api.createOrder.CreateOrderTest","testCreateOrderWithColors","testCreateOrderWithColors(String, List) Оба цвета",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","269","","yandex.praktikum.api.listOrder.ListOrderTest","","yandex.praktikum.api.listOrder.ListOrderTest","getListOrderSuccessTest","getListOrderSuccessTest()",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","72","","yandex.praktikum.api.createOrder.CreateOrderTest","","yandex.praktikum.api.createOrder.CreateOrderTest","testCreateOrderWithColors","testCreateOrderWithColors(String, List) Один цвет: BLACK",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","49","","yandex.praktikum.api.createOrder.CreateOrderTest","","yandex.praktikum.api.createOrder.CreateOrderTest","testCreateOrderWithColors","testCreateOrderWithColors(String, List) Без цвета",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","102","","yandex.praktikum.api.listOrder.ListOrderTest","","yandex.praktikum.api.listOrder.ListOrderTest","getListOrderNotFoundTest","getListOrderNotFoundTest()",""
"passed","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:04 MSK 2026","49","","yandex.praktikum.api.createCourier.CreateCourierTest","","yandex.praktikum.api.createCourier.CreateCourierTest","createInvalidLoginCourierTest","createInvalidLoginCourierTest()",""
"passed","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:04 MSK 2026","56","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","authNoFiledLoginTest","authNoFiledLoginTest()",""
"skipped","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:04 MSK 2026","0","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","authPasswordNullTest","authPasswordNullTest()",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","64","","yandex.praktikum.api.createCourier.CreateCourierTest","","yandex.praktikum.api.createCourier.CreateCourierTest","createInvalidPasswordCourierTest","createInvalidPasswordCourierTest()",""
"passed","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:04 MSK 2026","51","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","authCourierInvalidTest","authCourierInvalidTest()",""
"skipped","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:04 MSK 2026","0","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","authNoFieldPasswordTest","authNoFieldPasswordTest()",""
"passed","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:04 MSK 2026","171","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","authCourierSuccessTest","authCourierSuccessTest()",""
"passed","Thu May 21 19:41:05 MSK 2026","Thu May 21 19:41:05 MSK 2026","51","","yandex.praktikum.api.createCourier.CreateCourierTest","","yandex.praktikum.api.createCourier.CreateCourierTest","createCourierSuccessTest","createCourierSuccessTest()",""
"passed","Thu May 21 19:41:02 MSK 2026","Thu May 21 19:41:04 MSK 2026","2159","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","","yandex.praktikum.api.authorizationCourier.AuthCourierTest","authLoginNullTest","authLoginNullTest()",""
"passed","Thu May 21 19:41:04 MSK 2026","Thu May 21 19:41:05 MSK 2026","145","","yandex.praktikum.api.createCourier.CreateCourierTest","","yandex.praktikum.api.createCourier.CreateCourierTest","createSameCourierTest","createSameCourierTest()",""
